product_id,product_url,name,discount,discounted_price,original_price,rating,product_info
8162721,https://www.dresslily.com/cat-moon-galaxy-print-front-product8162721.html,Cat Moon Galaxy Print Front Pocket Drawstring Hoodie,58,17.55,41.59,,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5200kg;Package Contents:1 x Hoodie"
8162722,https://www.dresslily.com/halloween-bat-graphic-front-pocket-product8162722.html,Halloween Bat Graphic Front Pocket Drawstring Hoodie,58,17.39,41.06,,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Loose;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5100kg;Package Contents:1 x Hoodie"
8259394,https://www.dresslily.com/contrast-color-wolf-print-pocket-product8259394.html,Contrast Color Wolf Print Pocket Hoodie,45,21.76,39.75,,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal;Season:Fall,Spring,Winter;Weight:0.4900kg;Package Contents:1 x Hoodie"
5427069,https://www.dresslily.com/christmas-cats-print-long-sleeve-product5427069.html,Christmas Cats Print Long Sleeve Hoodie,68,13.22,41.32,5.0,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal;Season:Fall,Winter;Weight:0.4670kg;Package Contents:1 x Hoodie"
8259398,https://www.dresslily.com/colorful-aurora-print-pocket-hoodie-product8259398.html,Colorful Aurora Print Pocket Hoodie,42,21.84,37.51,,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.4950kg;Package Contents:1 x Hoodie"
6018849,https://www.dresslily.com/ombre-color-kangaroo-pocket-hoodie-product6018849.html,Ombre Color Kangaroo Pocket Hoodie,62,11.95,31.19,5.0,"Clothes Type:Hoodie;Occasion:Going Out;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Camouflage;Season:Winter;Weight:0.4000kg;Package Contents:1 x Hoodie"
7899754,https://www.dresslily.com/pullover-clover-print-pocket-hoodie-product7899754.html,Pullover Clover Print Pocket Hoodie,55,19.02,42.33,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Plant,Stripe;Season:Fall,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie"
8188879,https://www.dresslily.com/colorful-skull-print-long-sleeves-product8188879.html,Colorful Skull Print Hoodie,46,20.39,37.69,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Skull;Season:Fall,Spring,Winter;Weight:0.5770kg;Package Contents:1 x Hoodie"
5082136,https://www.dresslily.com/christmas-dog-and-gift-print-product5082136.html,Christmas Dog and Gift Print Pullover Hoodie,66,13.21,39.31,,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Winter;Weight:0.4330kg;Package Contents:1 x Hoodie"
7899749,https://www.dresslily.com/pullover-3d-cat-and-dog-product7899749.html,Pullover 3D Cat And Dog Print Hoodie,64,14.88,41.17,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal,Dog;Season:Fall,Winter;Weight:0.5400kg;Package Contents:1 x Hoodie"
3236118,https://www.dresslily.com/paint-splatter-drawstring-hoodie-product3236118.html,Paint Splatter Drawstring Hoodie,58,16.93,40.49,,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Paint Splatter;Season:Fall,Winter;Weight:0.4300kg;Package Contents:1 x Hoodie"
2937680,https://www.dresslily.com/kangaroo-pocket-mirror-leopard-print-product2937680.html,Kangaroo Pocket Mirror Leopard Print Hoodie,65,16.02,46.39,,"Clothes Type:Hoodie;Occasion:Casual ,Daily Use,Going Out,Sports;Style:Fashion;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester,Spandex;Thickness:Regular;Patterns:3D,Animal;Weight:0.5800kg;Package Contents:1 x Hoodie"
7942119,https://www.dresslily.com/button-up-space-dye-hoodie-product7942119.html,Button Up Space Dye Hoodie,62,17.39,46.00,,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Others;Season:Fall;Weight:0.5740kg;Package Contents:1 x Hoodie"
8179070,https://www.dresslily.com/3d-starry-sky-printed-hoodie-product8179070.html,3D Starry Sky Printed Hoodie,45,17.91,32.49,,"Clothes Type:Hoodie;Occasion:Daily,Going Out,Home,Vacation;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:3D Print;Season:Fall,Spring;Weight:0.5500kg;Package Contents:1 x Hoodie"
3194610,https://www.dresslily.com/drawstring-stripe-hem-letter-print-product3194610.html,Drawstring Stripe Hem Letter Print Hoodie,67,20.61,61.58,,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Letter;Season:Fall,Spring,Winter;Weight:0.7650kg;Package Contents:1 x Hoodie"
2696739,https://www.dresslily.com/raw-meat-print-kangaroo-pocket-product2696739.html,Raw Meat Print Kangaroo Pocket Hoodie,47,22.99,43.38,5.0,"Clothes Type:Hoodie;Occasion:Club,Daily Use,Going Out,Sports;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Print;Weight:0.4500kg;Package Contents:1 x Hoodie"
5082088,https://www.dresslily.com/christmas-santa-and-gift-print-product5082088.html,Christmas Santa and Gift Print Pullover Hoodie,65,13.94,40.31,,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Santa Claus;Season:Fall,Winter;Weight:0.4800kg;Package Contents:1 x Hoodie"
8173754,https://www.dresslily.com/color-blocking-zip-up-pocket-product8173754.html,Color-blocking Zip Up Pocket Hoodie,42,24.95,43.19,,"Clothes Type:Hoodie;Occasion:Daily,Going Out,Sports;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Color Block;Season:Fall,Spring,Winter;Weight:0.5000kg;Package Contents:1 x Hoodie"
5427176,https://www.dresslily.com/elk-trible-print-patchwork-fleece-product5427176.html,Elk Tribal Print Patchwork Fleece Hoodie,70,11.51,38.20,,"Clothes Type:Hoodie;Occasion:Daily,Daily Use,Going Out,Home,Night Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Tribal Print;Season:Fall;Weight:0.3570kg;Package Contents:1 x Hoodie"
8179065,https://www.dresslily.com/seashell-fruit-print-long-sleeves-product8179065.html,Casual Seashell Fruit Print Hoodie,57,20.38,47.38,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Fruit;Season:Fall,Spring,Winter;Weight:0.5300kg;Package Contents:1 x Hoodie"
8173762,https://www.dresslily.com/halloween-skeleton-print-finger-hole-product8173762.html,Halloween Skeleton Print Finger Hole Pullover Skull Mask Hoodie,44,18.92,33.74,,"Clothes Type:Hoodie;Occasion:Daily,Dance,Festival,Halloween,Night Out,Party;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Skeleton,Skull;Season:Fall,Spring,Winter;Weight:0.3200kg;Package Contents:1 x Hoodie"
8173744,https://www.dresslily.com/drawstring-kangaroo-pocket-soldier-mask-product8173744.html,Drawstring Kangaroo Pocket Soldier Mask Hoodie,50,26.92,54.04,,"Clothes Type:Hoodie;Occasion:Going Out,Home;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Solid;Season:Fall,Spring;Weight:0.6100kg;Package Contents:1 x Hoodie"
2672742,https://www.dresslily.com/pockets-graphic-longline-zip-up-product2672742.html,Pockets Graphic Longline Zip Up Fleece Hoodie,64,23.13,63.47,,"Clothes Type:Hoodie Jacket;Occasion:Casual ,Daily Use,Going Out;Style:Fashion;Shirt Length:X-Long;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Thick;Closure Type:Zipper;Patterns:Letter;Weight:1.0600kg;Package Contents:1 x Hoodie"
