product_id,rating,timestamp,text,size,color
3218662,5,"Nov,25 2019 01:40:07",birthday present for mad dog lady who loves it even though it's s man's.,XL,RED
3249703,4,"Nov,29 2019 00:25:27",i bought this shirt for my husband but it doesnt fit him. i think its hideous but its so soft and warm I wear it as a pajama sweatshirt and I love it!!,2XL,WHITE
3373794,5,"Dec,11 2019 06:43:00",love it. cant wait to see my boyfriend in it,M,multicolor
3177632,5,"Jul,01 2019 03:02:22",Good quality,L,BLACK
8210689,5,"Nov,12 2019 16:00:26","My man hasn't took this off since he got it. Looks amazing on him. Go up a size or two just in case, but it's a bad A looking piece of clothing. If you're into this style.",2XL,BLACK
8210689,5,"Nov,09 2019 05:57:41",it fits me perfectly <3 I love it,L,BLACK
8210689,5,"Nov,06 2019 05:31:38",Little bit longer then it said but it fits very nice and is very comfortable I would defiantly recommend this to someone who likes long soft comfortable clothing,S,MIDNIGHT BLUE
8210689,4,"Nov,02 2019 02:09:30",This is a great looking hoodie,3XL,MIDNIGHT BLUE
8210689,5,"Nov,01 2019 17:41:34","very good quality, nice light material so I can wear it for long periods of time without overheating, overall excellent",3XL,BLACK
8210689,4,"Oct,23 2019 15:38:04","I stand just over 6 feet tall with a lean build and this fits perfect, sleeves could be just a tad longer but with arms at my side they fall just before the knuckle of my thumb, with the bottom falling just above my ankles. Comfortable and snug. If intending to wear on a cold night, would recommend thermals underneath.",S,BLACK
8210689,5,"Dec,21 2019 06:22:13",husband loves it,3XL,MIDNIGHT BLUE
8210689,5,"Dec,10 2019 04:56:14",Absølutely Løøks Gørgeøus It Fits Perfect & Feels Amazing I Will Put A Picture Up Søøn nnThank Yøu www.dresslily.com,M,BLACK
8210689,5,"Dec,05 2019 21:29:37",This hoodie is awesome and it was the right size for American person. I love how it feels plus the delivery time was so fast I love it. Thanks Dresslily.,3XL,MIDNIGHT BLUE
8210689,5,"Dec,03 2019 03:37:10",bada*s works well under my red jacket,XL,BLACK
8210689,5,"Nov,26 2019 03:48:52","Fits perfect, very comfortable, and looks frickin sweet. Highly recommend this to anyone who is into the style.",M,CARBON GRAY
